ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:09:17Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:09:24Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:24Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:09:24Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:24Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:24Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6247,3040,0,Running
2026-05-19T14:09:24Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:09:31Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:31Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:09:31Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:31Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:31Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6247,3040,0,Running
2026-05-19T14:09:31Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:09:38Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:38Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:09:38Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:38Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:38Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5965,3040,0,Running
2026-05-19T14:09:38Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:09:46Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:46Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:09:46Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:46Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:09:46Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5965,3040,0,Running
2026-05-19T14:09:46Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:09:53Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:09:53Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:09:53Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:09:53Z,formbricks-hub-6d86596db9-7xckk,hub,2,11,0,Running
2026-05-19T14:09:53Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6031,3041,0,Running
2026-05-19T14:09:53Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:10:00Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:10:00Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
